firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
MARATHON PETROLEUM,2,0.129342,0.6616,0.7193,0.004106,non_hub_connector
GOLDMAN SACHS GROUP,1,0.1293,1.1103,0.7181,0.00349,non_hub_connector
PUBLIX SUPER MARKETS,2,0.128949,0.7115,0.7288,0.003815,non_hub_connector
3M,0,0.128902,1.0222,0.7172,0.00459,non_hub_connector
SHERWIN-WILLIAMS,2,0.128655,0.7671,0.7254,0.003795,non_hub_connector
PUBLIC SERVICE ENTERPRISE GROUP,0,0.128291,1.0311,0.7009,0.004305,non_hub_connector
ORACLE,0,0.128151,1.0732,0.6882,0.004078,non_hub_connector
PG&E,0,0.128037,1.0277,0.6962,0.004253,non_hub_connector
PEPSICO,2,0.127975,0.6845,0.7078,0.003508,non_hub_connector
WEYERHAEUSER,2,0.127958,0.658,0.7178,0.003899,non_hub_connector
HEWLETT PACKARD ENTERPRISE,0,0.127906,1.0324,0.7091,0.004508,non_hub_connector
BERKSHIRE HATHAWAY,0,0.127694,1.001,0.705,0.004416,non_hub_connector
NIKE,2,0.127623,0.6548,0.7322,0.003931,non_hub_connector
AMERISOURCEBERGEN,3,0.127369,-0.4575,0.4931,0.001121,peripheral
VISA,1,0.127142,0.985,0.7169,0.003974,non_hub_connector
EXXONMOBIL,0,0.127105,1.0076,0.7051,0.004465,non_hub_connector
GENERAL ELECTRIC,0,0.127015,1.0225,0.7108,0.004527,non_hub_connector
CHS,2,0.126967,0.6876,0.7192,0.003927,non_hub_connector
PRINCIPAL FINANCIAL,1,0.126882,1.0195,0.7239,0.003851,non_hub_connector
CELGENE,3,0.126769,-0.5038,0.6363,0.001294,non_hub_connector
ARAMARK,3,0.126757,-0.6054,0.7387,0.003089,non_hub_connector
BANK OF AMERICA,1,0.126456,1.0459,0.703,0.003328,non_hub_connector
HERSHEY,2,0.12594,0.7255,0.721,0.003955,non_hub_connector
GAP,2,0.125741,0.7002,0.7162,0.00366,non_hub_connector
S&P GLOBAL,2,0.125716,0.5886,0.722,0.003911,non_hub_connector
UNITED PARCEL SERVICE,2,0.125498,0.5562,0.7254,0.00414,non_hub_connector
NORTHWESTERN MUTUAL,1,0.125206,0.9961,0.692,0.002884,non_hub_connector
GOODYEAR TIRE & RUBBER,2,0.124708,0.6543,0.7234,0.003817,non_hub_connector
YUM BRANDS,1,0.124362,0.8862,0.7292,0.003804,non_hub_connector
BLACKROCK,1,0.124275,0.9926,0.678,0.002727,non_hub_connector
NEXTERA ENERGY,0,0.124088,0.9265,0.7042,0.004233,non_hub_connector
DUKE ENERGY,0,0.124037,0.8914,0.7052,0.004275,non_hub_connector
PPG INDUSTRIES,0,0.123824,0.9362,0.7045,0.004408,non_hub_connector
CHEMOURS,2,0.123818,0.5292,0.7159,0.003872,non_hub_connector
HOME DEPOT,0,0.123704,0.8947,0.7097,0.004427,non_hub_connector
CAPITAL ONE FINANCIAL,1,0.123605,0.9238,0.7047,0.003342,non_hub_connector
CHESAPEAKE ENERGY,2,0.123373,0.5119,0.7194,0.003716,non_hub_connector
BOEING,0,0.123056,0.9434,0.7124,0.004411,non_hub_connector
CHARLES SCHWAB,1,0.123047,0.8838,0.7116,0.003086,non_hub_connector
APPLE,0,0.122767,0.8025,0.7202,0.004519,non_hub_connector
ALLSTATE,0,0.122601,0.8456,0.7134,0.004323,non_hub_connector
HARTFORD FINANCIAL SERVICES,1,0.122598,0.8316,0.7256,0.003593,non_hub_connector
CORNING,0,0.12228,0.8789,0.7146,0.004409,non_hub_connector
CITIGROUP,1,0.121957,0.8234,0.7199,0.003989,non_hub_connector
ALPHABET,0,0.121741,0.8583,0.7102,0.004231,non_hub_connector
TIAA,1,0.121368,0.934,0.6763,0.002697,non_hub_connector
DEERE,2,0.121303,0.5438,0.7179,0.003519,non_hub_connector
XCEL ENERGY,0,0.120999,0.8524,0.7062,0.004224,non_hub_connector
HUNTSMAN,2,0.120881,0.4793,0.7204,0.003897,non_hub_connector
ARCONIC,2,0.120416,0.574,0.6875,0.003385,non_hub_connector
DELTA AIR LINES,0,0.120093,0.807,0.7117,0.004302,non_hub_connector
MASSACHUSETTS MUTUAL LIFE INSURANCE,1,0.120067,0.8813,0.6845,0.00274,non_hub_connector
KOHL'S,1,0.119571,0.7397,0.7209,0.003337,non_hub_connector
GENWORTH FINANCIAL,1,0.119563,0.828,0.6976,0.003033,non_hub_connector
MARRIOTT INTERNATIONAL,1,0.119325,0.7569,0.7222,0.00365,non_hub_connector
ANTHEM,3,0.118444,-0.6671,0.7168,0.001991,non_hub_connector
CHENIERE ENERGY,2,0.118351,0.4721,0.7199,0.003527,non_hub_connector
ILLINOIS TOOL WORKS,2,0.118217,0.5079,0.7011,0.003447,non_hub_connector
HORMEL FOODS,2,0.117965,0.4205,0.733,0.003501,non_hub_connector
VALERO ENERGY,2,0.117908,0.3541,0.7189,0.003444,non_hub_connector
DUPONT DE NEMOURS,2,0.117781,0.408,0.7031,0.003531,non_hub_connector
PAYPAL HOLDINGS,1,0.117574,0.6944,0.7224,0.003727,non_hub_connector
SEMPRA ENERGY,0,0.117516,0.7111,0.7122,0.004225,non_hub_connector
BLACKSTONE GROUP,1,0.117456,0.7045,0.7152,0.003864,non_hub_connector
ALLIANCE DATA SYSTEMS,1,0.117008,0.7848,0.6683,0.002627,non_hub_connector
MOSAIC,2,0.116087,0.3798,0.7164,0.003216,non_hub_connector
MICROSOFT,0,0.116052,0.731,0.7079,0.004065,non_hub_connector
AMEREN,0,0.115887,0.7224,0.7089,0.004149,non_hub_connector
KEYCORP,1,0.115763,0.7186,0.7141,0.003153,non_hub_connector
RAYTHEON,0,0.115758,0.7656,0.7093,0.004068,non_hub_connector
MCDONALD'S,2,0.115692,0.2975,0.7186,0.00344,non_hub_connector
UNION PACIFIC,0,0.115265,0.6824,0.7096,0.004079,non_hub_connector
FEDEX,0,0.115036,0.7065,0.711,0.004123,non_hub_connector
FIRSTENERGY,0,0.114714,0.6536,0.6964,0.003797,non_hub_connector
GENERAL MILLS,2,0.114442,0.3461,0.7139,0.003243,non_hub_connector
NEW YORK LIFE INSURANCE,1,0.114427,0.6381,0.7235,0.00351,non_hub_connector
NORFOLK SOUTHERN,2,0.113982,0.25,0.7242,0.003588,non_hub_connector
HILTON WORLDWIDE HOLDINGS,0,0.113855,0.6342,0.7191,0.004223,non_hub_connector
FLUOR,0,0.113767,0.6944,0.7132,0.004201,non_hub_connector
LOCKHEED MARTIN,0,0.113308,0.7188,0.7099,0.004114,non_hub_connector
AMERICAN AIRLINES GROUP,0,0.113213,0.628,0.715,0.004101,non_hub_connector
PPL,0,0.112821,0.6122,0.6904,0.003591,non_hub_connector
FISERV,1,0.112556,0.4365,0.7175,0.003339,non_hub_connector
AECOM,0,0.112461,0.668,0.6844,0.003634,non_hub_connector
VIACOM,1,0.112364,0.5356,0.7298,0.003513,non_hub_connector
HESS,2,0.112116,0.2064,0.7176,0.003236,non_hub_connector
LOEWS,1,0.112016,0.5458,0.7185,0.0032,non_hub_connector
AES,0,0.111822,0.6275,0.7137,0.004241,non_hub_connector
AFLAC,1,0.111434,0.5589,0.7306,0.003188,non_hub_connector
QUEST DIAGNOSTICS,3,0.111431,-0.8873,0.6581,0.001563,non_hub_connector
HARLEY-DAVIDSON,1,0.111313,0.6018,0.7151,0.003226,non_hub_connector
DEAN FOODS,3,0.111305,-0.9766,0.7415,0.002117,non_hub_connector
NAVISTAR INTERNATIONAL,0,0.111272,0.681,0.704,0.004094,non_hub_connector
DTE ENERGY,0,0.110972,0.5827,0.7076,0.003956,non_hub_connector
NAVIENT,1,0.110822,0.5939,0.6931,0.00271,non_hub_connector
AMERICAN EXPRESS,1,0.110793,0.5733,0.704,0.002957,non_hub_connector
REINSURANCE GROUP OF AMERICA,1,0.110365,0.5858,0.7122,0.003062,non_hub_connector
NORTHROP GRUMMAN,0,0.110266,0.648,0.697,0.003719,non_hub_connector
MAGELLAN HEALTH,3,0.109309,-0.9758,0.421,0.000991,peripheral
PRUDENTIAL FINANCIAL,1,0.109125,0.5338,0.6854,0.002558,non_hub_connector
J.M. SMUCKER,2,0.108734,0.1246,0.7306,0.003473,non_hub_connector
STARBUCKS,2,0.108534,0.0618,0.7246,0.003456,non_hub_connector
SYNCHRONY FINANCIAL,1,0.10847,0.5732,0.6468,0.002309,non_hub_connector
CUMMINS,1,0.108211,0.3976,0.7259,0.003217,non_hub_connector
TEXAS INSTRUMENTS,0,0.108036,0.4738,0.7132,0.004085,non_hub_connector
MICRON TECHNOLOGY,2,0.107653,0.1469,0.7176,0.003372,non_hub_connector
QUALCOMM,2,0.107312,0.1132,0.7106,0.003066,non_hub_connector
CISCO SYSTEMS,0,0.10678,0.5331,0.708,0.003859,non_hub_connector
VISTRA ENERGY,2,0.106778,0.1583,0.7243,0.003252,non_hub_connector
CONSTELLATION BRANDS,2,0.106713,0.1199,0.7227,0.003358,non_hub_connector
AMERICAN ELECTRIC POWER,0,0.106315,0.4983,0.7081,0.003854,non_hub_connector
CSX,0,0.105581,0.4734,0.7054,0.003718,non_hub_connector
WESTERN UNION,1,0.105501,0.3137,0.7151,0.003291,non_hub_connector
FIFTH THIRD BANCORP,1,0.105463,0.3265,0.7376,0.003234,non_hub_connector
EVERSOURCE ENERGY,0,0.105302,0.4499,0.7109,0.003881,non_hub_connector
CENTENE,3,0.105238,-1.0419,0.6734,0.001274,non_hub_connector
REPUBLIC SERVICES,0,0.104701,0.4303,0.7,0.003517,non_hub_connector
COMCAST,1,0.104628,0.2319,0.7252,0.003299,non_hub_connector
IBM,0,0.104526,0.4668,0.7182,0.004016,non_hub_connector
IQVIA HOLDINGS,3,0.104261,-1.0881,0.6507,0.001389,non_hub_connector
THRIVENT FINANCIAL FOR LUTHERANS,1,0.10425,0.4455,0.6715,0.002379,non_hub_connector
LAM RESEARCH,2,0.10363,-0.0103,0.725,0.003523,non_hub_connector
CONOCOPHILLIPS,0,0.103509,0.4107,0.7083,0.003693,non_hub_connector
AMERICAN TOWER,1,0.103392,0.2978,0.7209,0.003078,non_hub_connector
CHEVRON,2,0.102966,-0.0762,0.7141,0.003029,non_hub_connector
ALCOA,2,0.102841,0.0435,0.7213,0.003056,non_hub_connector
ANIXTER INTERNATIONAL,0,0.101355,0.4128,0.7105,0.003813,non_hub_connector
FRANKLIN RESOURCES,1,0.101329,0.3121,0.6624,0.002234,non_hub_connector
QUANTA SERVICES,0,0.100865,0.3005,0.6923,0.003425,non_hub_connector
ADOBE,0,0.100636,0.3909,0.6845,0.003269,non_hub_connector
TENNECO,2,0.100154,-0.0354,0.6922,0.002471,non_hub_connector
WALGREENS BOOTS ALLIANCE,1,0.099503,0.0801,0.7365,0.003178,non_hub_connector
ASSURANT,1,0.099281,0.2836,0.6839,0.002433,non_hub_connector
KELLOGG,2,0.098689,-0.1176,0.7263,0.002564,non_hub_connector
LIVE NATION ENTERTAINMENT,1,0.098162,0.0914,0.7199,0.00298,non_hub_connector
XEROX,1,0.097729,0.1408,0.7288,0.002983,non_hub_connector
HALLIBURTON,2,0.097536,-0.1186,0.7112,0.002785,non_hub_connector
AT&T,1,0.097135,0.0738,0.7296,0.00324,non_hub_connector
CENTERPOINT ENERGY,0,0.096175,0.2435,0.7156,0.003651,non_hub_connector
APPLIED MATERIALS,1,0.096005,0.0635,0.721,0.003059,non_hub_connector
CARDINAL HEALTH,0,0.09583,0.2381,0.7202,0.003574,non_hub_connector
WALT DISNEY,1,0.095587,0.0594,0.7186,0.002829,non_hub_connector
BORGWARNER,1,0.095422,0.0575,0.7164,0.002813,non_hub_connector
VERIZON,1,0.095279,0.034,0.709,0.002906,non_hub_connector
DISCOVERY,1,0.095215,0.0742,0.7103,0.003137,non_hub_connector
GENERAL DYNAMICS,0,0.095205,0.2407,0.6614,0.002959,non_hub_connector
MGM RESORTS INTERNATIONAL,0,0.095201,0.2347,0.7122,0.003733,non_hub_connector
WASTE MANAGEMENT,0,0.094907,0.1916,0.7034,0.003408,non_hub_connector
OCCIDENTAL PETROLEUM,2,0.09467,-0.3553,0.7239,0.003111,non_hub_connector
AVIS BUDGET GROUP,1,0.094165,-0.0465,0.7247,0.002658,non_hub_connector
MARSH & MCLENNAN,1,0.094002,0.1008,0.7273,0.002793,non_hub_connector
PEABODY ENERGY,1,0.093763,0.0138,0.7167,0.003233,non_hub_connector
ZOETIS,2,0.093544,-0.2035,0.7178,0.002795,non_hub_connector
NRG ENERGY,1,0.09317,-0.0528,0.7189,0.002991,non_hub_connector
STATE FARM INSURANCE,1,0.092859,-0.0833,0.7265,0.00306,non_hub_connector
LENNAR,0,0.092841,0.1566,0.675,0.002992,non_hub_connector
TESLA,1,0.092309,-0.0052,0.7168,0.003142,non_hub_connector
LAS VEGAS SANDS,0,0.09107,0.1026,0.7232,0.003642,non_hub_connector
RYDER SYSTEM,1,0.09103,-0.0844,0.7188,0.00287,non_hub_connector
BALL,0,0.090984,0.1263,0.7002,0.003366,non_hub_connector
MONDELEZ INTERNATIONAL,2,0.090513,-0.3013,0.7127,0.002642,non_hub_connector
CALPINE,1,0.090372,-0.1016,0.7152,0.002609,non_hub_connector
