firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
PEABODY ENERGY,1,0.003809,-1.7559,0.0,0.000777,ultra_peripheral
THERMO FISHER SCIENTIFIC,3,0.003652,-1.2754,0.4274,0.001338,peripheral
NAVIENT,0,0.003398,-1.3405,0.0,0.000734,ultra_peripheral
TENNECO,3,0.003167,-1.036,0.0,0.002067,ultra_peripheral
VIACOM,2,0.002499,-0.9477,0.0,0.001444,ultra_peripheral
DISH NETWORK,2,0.002195,-0.9962,0.4182,0.001417,peripheral
RYDER SYSTEM,5,0.002151,-2.0088,0.0,0.000761,ultra_peripheral
YUM CHINA HOLDINGS,0,0.002145,-1.2865,0.0,0.000989,ultra_peripheral
TWENTY-FIRST CENTURY FOX,2,0.002094,-0.5976,0.342,0.00356,peripheral
CBS,2,0.00025,-0.9195,0.3698,0.001868,peripheral
