source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
WALGREENS BOOTS ALLIANCE,ABBVIE,0.0,0.014093,0,2,0,2,-2
ABBVIE,WALMART,0.077567,0.155134,0,0,3,3,0
WALMART,ABBVIE,0.077567,0.155134,0,0,3,3,0
ABBVIE,WESCO INTERNATIONAL,0.075,0.15,0,0,1,1,0
WESCO INTERNATIONAL,ABBVIE,0.075,0.15,0,0,1,1,0
ABBVIE,WESTERN UNION,0.019345,0.03869,0,0,1,1,0
WESTERN UNION,ABBVIE,0.019345,0.03869,0,0,1,1,0
ABBVIE,WESTROCK,0.001162,0.002323,0,0,1,1,0
WESTROCK,ABBVIE,0.001162,0.002323,0,0,1,1,0
ABM INDUSTRIES,AECOM,0.092179,0.122905,1,0,1,2,1
AECOM,ABM INDUSTRIES,0.030726,0.122905,0,1,1,2,-1
ABM INDUSTRIES,AMERICAN ELECTRIC POWER,0.0,0.059155,0,1,0,1,-1
AMERICAN ELECTRIC POWER,ABM INDUSTRIES,0.059155,0.059155,1,0,0,1,1
ABM INDUSTRIES,HONEYWELL INTERNATIONAL,0.003838,0.02303,0,2,1,3,-2
HONEYWELL INTERNATIONAL,ABM INDUSTRIES,0.019191,0.02303,2,0,1,3,2
ABM INDUSTRIES,MOTOROLA SOLUTIONS,0.0,0.059155,0,1,0,1,-1
MOTOROLA SOLUTIONS,ABM INDUSTRIES,0.059155,0.059155,1,0,0,1,1
ABM INDUSTRIES,PUBLIC SERVICE ENTERPRISE GROUP,0.0,0.122905,0,1,0,1,-1
PUBLIC SERVICE ENTERPRISE GROUP,ABM INDUSTRIES,0.122905,0.122905,1,0,0,1,1
ABM INDUSTRIES,XCEL ENERGY,0.0,0.02303,0,1,0,1,-1
XCEL ENERGY,ABM INDUSTRIES,0.02303,0.02303,1,0,0,1,1
ADP,BEST BUY,0.099875,0.099875,2,0,0,2,2
BEST BUY,ADP,0.0,0.099875,0,2,0,2,-2
ADP,HOME DEPOT,0.049938,0.099875,0,0,2,2,0
HOME DEPOT,ADP,0.049938,0.099875,0,0,2,2,0
ADP,MCDONALD'S,0.036125,0.036125,2,0,0,2,2
MCDONALD'S,ADP,0.0,0.036125,0,2,0,2,-2
ADVANCED MICRO DEVICES,CHEMOURS,0.011515,0.02303,0,0,1,1,0
CHEMOURS,ADVANCED MICRO DEVICES,0.011515,0.02303,0,0,1,1,0
ADVANCED MICRO DEVICES,WESTERN DIGITAL,0.031875,0.06375,0,0,2,2,0
WESTERN DIGITAL,ADVANCED MICRO DEVICES,0.031875,0.06375,0,0,2,2,0
AECOM,AES,0.007914,0.010552,1,0,1,2,1
AES,AECOM,0.002638,0.010552,0,1,1,2,-1
AECOM,ALASKA AIR GROUP,0.048009,0.120024,1,2,2,5,-1
ALASKA AIR GROUP,AECOM,0.072014,0.120024,2,1,2,5,1
AECOM,AMEREN,0.035743,0.047657,1,0,1,2,1
AMEREN,AECOM,0.011914,0.047657,0,1,1,2,-1
AECOM,AMERICAN AIRLINES GROUP,0.005886,0.011771,0,0,3,3,0
AMERICAN AIRLINES GROUP,AECOM,0.005886,0.011771,0,0,3,3,0
AECOM,APPLIED MATERIALS,0.004041,0.008082,0,0,1,1,0
APPLIED MATERIALS,AECOM,0.004041,0.008082,0,0,1,1,0
AECOM,BALL,0.017692,0.035383,0,0,4,4,0
BALL,AECOM,0.017692,0.035383,0,0,4,4,0
AECOM,BERKSHIRE HATHAWAY,0.020219,0.030329,3,1,2,6,2
BERKSHIRE HATHAWAY,AECOM,0.01011,0.030329,1,3,2,6,-2
AECOM,CATERPILLAR,0.0,0.060026,0,1,0,1,-1
