firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
ENTERGY,2,0.226251,1.231,0.596,0.014513,0.192115,peripheral
NORTHROP GRUMMAN,3,0.223448,1.1333,0.5475,0.006256,0.070361,peripheral
BIOGEN,4,0.21497,0.8968,0.478,0.003422,0.03368,peripheral
UNION PACIFIC,3,0.214564,1.241,0.691,0.009365,0.098034,non_hub_connector
AMERICAN ELECTRIC POWER,2,0.209018,0.9445,0.3173,0.008865,0.159021,peripheral
PG&E,2,0.205632,1.1833,0.503,0.012473,0.173444,peripheral
CUMMINS,3,0.201541,0.9897,0.719,0.010972,0.100968,non_hub_connector
MERCK,4,0.20151,0.6687,0.2972,0.002748,0.027128,peripheral
BALL,3,0.201134,0.9777,0.6735,0.007649,0.072598,non_hub_connector
BOEING,3,0.200091,0.8939,0.7492,0.009743,0.069279,non_hub_connector
AECOM,3,0.19222,0.7743,0.5934,0.005939,0.061768,peripheral
GILEAD SCIENCES,4,0.190249,0.7637,0.7254,0.00532,0.053795,non_hub_connector
PPG INDUSTRIES,3,0.189745,0.8461,0.7282,0.008839,0.081597,non_hub_connector
DUKE ENERGY,2,0.185101,0.9662,0.4993,0.011533,0.159787,peripheral
DEAN FOODS,5,0.181147,0.2577,0.6784,0.001594,0.02106,non_hub_connector
UNITED TECHNOLOGIES,3,0.179709,0.6546,0.6454,0.006158,0.056937,non_hub_connector
AIG,0,0.179251,1.1354,0.161,0.004189,0.029625,peripheral
TIAA,0,0.178974,1.0904,0.1181,0.003884,0.029157,peripheral
JOHNSON & JOHNSON,4,0.178399,0.7447,0.6293,0.004721,0.034637,non_hub_connector
PRUDENTIAL FINANCIAL,0,0.177688,1.1504,0.2966,0.004382,0.031013,peripheral
UNITED AIRLINES HOLDINGS,3,0.17614,0.6546,0.5723,0.00544,0.049598,peripheral
AMERICAN AIRLINES GROUP,3,0.175257,0.6426,0.5519,0.005183,0.050701,peripheral
MAGELLAN HEALTH,4,0.169107,0.4977,0.668,0.003709,0.038546,non_hub_connector
DELL TECHNOLOGIES,1,0.168703,1.0167,0.7573,0.007307,0.05797,non_hub_connector
FIRSTENERGY,2,0.167716,0.6971,0.381,0.008187,0.136535,peripheral
CENTERPOINT ENERGY,2,0.164154,0.658,0.2356,0.007123,0.128759,peripheral
ALASKA AIR GROUP,3,0.163089,0.487,0.5569,0.004826,0.049726,peripheral
LINCOLN NATIONAL,0,0.162455,0.7904,0.1362,0.003381,0.028146,peripheral
MOLSON COORS BEVERAGE,5,0.16114,-0.5493,0.6578,0.000927,0.021974,non_hub_connector
MUTUAL OF OMAHA INSURANCE,0,0.160917,0.8354,0.6756,0.006792,0.039243,non_hub_connector
ORACLE,1,0.160408,0.9366,0.7259,0.006743,0.055939,non_hub_connector
STATE FARM INSURANCE,0,0.159655,0.9554,0.3566,0.004352,0.030391,peripheral
3M,3,0.157466,0.5229,0.6956,0.007055,0.066909,non_hub_connector
AMAZON,1,0.157104,1.6261,0.7204,0.009139,0.062229,non_hub_connector
GUARDIAN LIFE INS. CO. OF AMERICA,0,0.148107,1.1804,0.6742,0.007038,0.042298,non_hub_connector
SOUTHWEST AIRLINES,3,0.141934,0.1519,0.5948,0.004221,0.049082,peripheral
CORNING,3,0.128813,0.1759,0.7183,0.00745,0.074078,non_hub_connector
FOX CORP,1,0.125468,0.3913,0.5045,0.003297,0.028935,peripheral
SYSCO,5,0.125286,-0.434,0.6531,0.000978,0.020546,non_hub_connector
FACEBOOK,1,0.121605,0.7762,0.7102,0.005818,0.04062,non_hub_connector
CALPINE,2,0.120571,0.3845,0.2402,0.005981,0.101657,peripheral
CISCO SYSTEMS,1,0.116414,0.4394,0.6248,0.003619,0.035188,peripheral
BLACKSTONE GROUP,4,0.112721,0.3267,0.6324,0.003615,0.032605,non_hub_connector
WASTE MANAGEMENT,5,0.111929,-0.5493,0.5785,0.000824,0.020672,peripheral
JPMORGAN CHASE & CO.,0,0.110478,0.8504,0.4693,0.004446,0.032296,peripheral
MOLINA HEALTHCARE,4,0.109322,0.0796,0.605,0.002485,0.031111,peripheral
JONES FINANCIAL (EDWARD JONES),0,0.109208,0.2204,0.5331,0.003055,0.032317,peripheral
NEW YORK LIFE INSURANCE,0,0.108386,0.2954,0.1967,0.002677,0.025829,peripheral
WALMART,4,0.105548,-0.0344,0.7114,0.003734,0.029519,non_hub_connector
HOLLYFRONTIER,3,0.10473,-0.0994,0.5989,0.004033,0.052422,peripheral
FEDEX,3,0.102126,-0.2191,0.7194,0.004643,0.046664,non_hub_connector
HCA HEALTHCARE,4,0.102101,0.0416,0.7414,0.003297,0.035497,non_hub_connector
ELI LILLY,4,0.101012,0.0416,0.5351,0.00231,0.028606,peripheral
DISH NETWORK,1,0.097956,-0.17,0.4011,0.001767,0.026009,peripheral
NIKE,5,0.097935,-0.434,0.2449,0.00124,0.020145,peripheral
GAP,5,0.097935,-0.434,0.2449,0.00124,0.020145,peripheral
CAMPBELL SOUP,5,0.097935,-0.434,0.2449,0.00124,0.020145,peripheral
KEURIG DR PEPPER,5,0.096605,-0.6646,0.58,0.000796,0.020614,peripheral
IHEARTMEDIA,1,0.094398,-0.0577,0.5975,0.002877,0.027344,peripheral
RITE AID,4,0.093884,-0.1294,0.6834,0.002936,0.02638,non_hub_connector
BANK OF AMERICA,0,0.093603,0.4904,0.4753,0.004174,0.028914,peripheral
CBS,1,0.09112,-0.0096,0.6161,0.002758,0.027259,peripheral
TEXTRON,3,0.088142,-0.3746,0.6254,0.002981,0.041475,non_hub_connector
PUBLIC SERVICE ENTERPRISE GROUP,2,0.08789,0.0329,0.5436,0.006239,0.089891,peripheral
EVERSOURCE ENERGY,2,0.087818,0.0763,0.4357,0.005551,0.083654,peripheral
WALGREENS BOOTS ALLIANCE,4,0.086036,-0.1294,0.6555,0.002505,0.031685,non_hub_connector
BLACKROCK,0,0.084224,0.0854,0.4048,0.002616,0.026379,peripheral
LABORATORY CORP. OF AMERICA,4,0.082667,0.0796,0.7164,0.003383,0.031421,non_hub_connector
CATERPILLAR,4,0.082213,-0.2054,0.7899,0.005446,0.05147,non_hub_connector
KELLOGG,5,0.081684,-0.434,0.8036,0.001503,0.022207,kinless
ALPHABET,1,0.081017,0.0225,0.4869,0.002563,0.026085,peripheral
PNC FINANCIAL SERVICES,0,0.080836,0.4154,0.3536,0.003404,0.026898,peripheral
EXXONMOBIL,2,0.080827,0.1197,0.7165,0.010711,0.098314,non_hub_connector
JACOBS ENGINEERING GROUP,3,0.080138,-0.4225,0.6143,0.002894,0.037788,peripheral
LIBERTY MUTUAL INSURANCE GROUP,0,0.079162,-0.2596,0.7027,0.00258,0.030115,non_hub_connector
AMEREN,2,0.077425,-0.0322,0.5325,0.005832,0.079882,peripheral
FLUOR,3,0.075435,-0.4345,0.65,0.003782,0.051351,non_hub_connector
HEWLETT PACKARD ENTERPRISE,1,0.072463,0.279,0.7169,0.004551,0.04053,non_hub_connector
HONEYWELL INTERNATIONAL,1,0.072385,0.0064,0.7505,0.004682,0.046298,non_hub_connector
CAPITAL ONE FINANCIAL,0,0.071745,-0.0046,0.7402,0.003793,0.034751,non_hub_connector
INTEL,1,0.071647,0.0545,0.6112,0.003173,0.039031,peripheral
WINDSTREAM HOLDINGS,1,0.071559,-0.4426,0.2571,0.001163,0.022979,peripheral
NORTHERN TRUST,0,0.071015,0.2654,0.3864,0.003175,0.027171,peripheral
CITIGROUP,0,0.069757,0.2954,0.5861,0.003735,0.030475,peripheral
TEXAS INSTRUMENTS,1,0.069569,0.2149,0.5809,0.003016,0.029838,peripheral
LUMEN TECHNOLOGIES,1,0.069005,-0.4587,0.7314,0.00187,0.029416,non_hub_connector
CSX,3,0.068363,-0.5422,0.6843,0.003374,0.048772,non_hub_connector
AMERISOURCEBERGEN,4,0.068345,-0.4144,0.1094,0.00128,0.022005,peripheral
MOTOROLA SOLUTIONS,3,0.066182,-0.5901,0.686,0.003145,0.043396,non_hub_connector
SOUTHERN,2,0.065472,-0.2754,0.4624,0.003655,0.067118,peripheral
HUNTSMAN,3,0.065151,-0.5422,0.732,0.003465,0.041445,non_hub_connector
AIR PRODUCTS & CHEMICALS,3,0.065115,-0.5302,0.6006,0.002611,0.038991,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,3,0.064438,-0.6379,0.6824,0.002886,0.034577,non_hub_connector
KEYCORP,0,0.061588,0.2354,0.0697,0.00267,0.024074,peripheral
REGENERON PHARMACEUTICALS,4,0.061334,-0.4334,0.244,0.001304,0.022275,peripheral
FORD,0,0.060935,-0.2296,0.6203,0.002692,0.035333,peripheral
HOME DEPOT,1,0.059451,0.1187,0.7621,0.004413,0.037024,non_hub_connector
CHARLES SCHWAB,0,0.057743,-0.2746,0.0,0.001706,0.022526,ultra_peripheral
NAVISTAR INTERNATIONAL,4,0.056971,-0.3194,0.7087,0.002373,0.029632,non_hub_connector
HP,1,0.05576,-0.17,0.3829,0.001986,0.025115,peripheral
MICRON TECHNOLOGY,1,0.055012,0.1989,0.693,0.004514,0.046315,non_hub_connector
MCKESSON,4,0.05496,-0.5095,0.5709,0.0015,0.024275,peripheral
GENERAL MOTORS,2,0.053614,-0.2884,0.7273,0.006004,0.068445,non_hub_connector
CITIZENS FINANCIAL GROUP,0,0.05303,-0.2296,0.3424,0.001969,0.023507,peripheral
CHEVRON,2,0.052205,-0.1625,0.5525,0.005223,0.065058,peripheral
WELLS FARGO,0,0.048657,-0.1096,0.36,0.002209,0.026207,peripheral
APPLIED MATERIALS,1,0.047682,0.0385,0.7074,0.003568,0.034109,non_hub_connector
HILTON WORLDWIDE HOLDINGS,0,0.046169,-0.3046,0.7365,0.003118,0.031517,non_hub_connector
L3HARRIS TECHNOLOGIES,3,0.046038,-0.8653,0.4232,0.00142,0.026527,peripheral
FIFTH THIRD BANCORP,0,0.044451,0.0554,0.3856,0.002762,0.024849,peripheral
BECTON DICKINSON,4,0.044419,-0.5285,0.7097,0.001954,0.024033,non_hub_connector
LIBERTY MEDIA,1,0.043932,-0.4105,0.6451,0.001733,0.026102,non_hub_connector
TARGET,1,0.043763,-0.186,0.5566,0.002107,0.024947,peripheral
AES,2,0.04354,-0.4577,0.5476,0.002966,0.052559,peripheral
YUM BRANDS,1,0.042635,-0.2823,0.5848,0.002124,0.024948,peripheral
