firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
CORNING,0,0.0746,0.1402,0.6719,0.005556,0.056802,non_hub_connector
WALGREENS BOOTS ALLIANCE,3,0.074579,-0.956,0.6385,0.002418,0.026842,non_hub_connector
EDISON INTERNATIONAL,0,0.074047,-0.18,0.3448,0.002981,0.033178,peripheral
JPMORGAN CHASE & CO.,2,0.07288,0.2225,0.3977,0.004351,0.050082,peripheral
BALL,0,0.072743,1.0643,0.3955,0.005771,0.054124,peripheral
SEMPRA ENERGY,0,0.071969,-0.4594,0.3658,0.00247,0.031346,peripheral
CONSTELLATION BRANDS,2,0.070704,0.1311,0.1822,0.003489,0.043098,peripheral
NEW YORK LIFE INSURANCE,2,0.070415,0.5838,0.3296,0.004794,0.053101,peripheral
AT&T,1,0.069383,0.7096,0.4904,0.005186,0.040691,peripheral
BANK OF AMERICA,2,0.069022,-0.0877,0.4671,0.004399,0.048006,peripheral
BERKSHIRE HATHAWAY,0,0.068272,0.4587,0.1878,0.004013,0.035827,peripheral
BANK OF NEW YORK MELLON,2,0.066551,-0.1169,0.2741,0.003475,0.038465,peripheral
CITIZENS FINANCIAL GROUP,2,0.065382,0.042,0.2598,0.003523,0.042364,peripheral
HOME DEPOT,1,0.064968,0.7086,0.5337,0.004918,0.041597,peripheral
3M,0,0.06263,0.288,0.6215,0.005437,0.052767,peripheral
AECOM,0,0.062531,0.9263,0.3332,0.005185,0.046521,peripheral
GRAPHIC PACKAGING HOLDING,0,0.062212,0.5635,0.2901,0.004433,0.042081,peripheral
CONOCOPHILLIPS,0,0.060443,-0.1437,0.4874,0.003807,0.03603,peripheral
OSHKOSH,0,0.059275,0.0502,0.3486,0.00333,0.04017,peripheral
WESTROCK,0,0.058327,0.3619,0.3112,0.004056,0.040486,peripheral
DELTA AIR LINES,0,0.056486,0.5574,0.3407,0.004506,0.0431,peripheral
PRUDENTIAL FINANCIAL,2,0.056035,0.5197,0.5556,0.006408,0.101692,peripheral
DEERE,4,0.05568,-1.093,0.3983,0.001953,0.050875,peripheral
TIAA,2,0.053755,0.0943,0.283,0.003762,0.046357,peripheral
LOCKHEED MARTIN,0,0.052662,0.3119,0.5624,0.005027,0.04881,peripheral
AMERIPRISE FINANCIAL,2,0.051475,0.1987,0.5421,0.005209,0.053781,peripheral
CHARTER COMMUNICATIONS,1,0.050276,-0.034,0.382,0.003108,0.030043,peripheral
HARTFORD FINANCIAL SERVICES,2,0.049815,0.0423,0.6462,0.00588,0.078813,non_hub_connector
BOSTON SCIENTIFIC,1,0.049567,-0.3418,0.615,0.00308,0.03153,peripheral
VALERO ENERGY,0,0.049437,-0.4039,0.5173,0.002958,0.034646,peripheral
CHEVRON,0,0.04705,-0.4165,0.2311,0.00242,0.028854,peripheral
COMCAST,1,0.046874,-0.4402,-0.0,0.001781,0.023729,ultra_peripheral
INTERNATIONAL PAPER,4,0.046128,-1.0125,0.6364,0.004244,0.054437,non_hub_connector
LINCOLN NATIONAL,2,0.046042,0.1887,0.2662,0.003857,0.04552,peripheral
XEROX,2,0.045347,0.0638,0.199,0.003576,0.038322,peripheral
WESTERN DIGITAL,1,0.044174,-0.7264,0.3867,0.001557,0.02439,peripheral
QURATE RETAIL,1,0.041438,-0.0964,0.4663,0.002887,0.031395,peripheral
USAA,2,0.040771,0.0171,0.3095,0.003796,0.038746,peripheral
LUMEN TECHNOLOGIES,1,0.040181,-0.258,0.2511,0.002405,0.025967,peripheral
ALLSTATE,2,0.039497,-0.015,0.4947,0.004466,0.044413,peripheral
DANAHER,3,0.038314,-0.5895,0.4503,0.002555,0.024927,peripheral
NRG ENERGY,0,0.037048,-1.0566,0.0,0.001145,0.020927,ultra_peripheral
ABM INDUSTRIES,0,0.036694,-0.871,0.4812,0.001847,0.027103,peripheral
