source,target,weight
AIR PRODUCTS & CHEMICALS,ORACLE,0.144953
AIR PRODUCTS & CHEMICALS,OSHKOSH,0.553372
AIR PRODUCTS & CHEMICALS,PG&E,0.030955
AIR PRODUCTS & CHEMICALS,PPG INDUSTRIES,0.150804
AIR PRODUCTS & CHEMICALS,PPL,0.026273
AIR PRODUCTS & CHEMICALS,PUBLIC SERVICE ENTERPRISE GROUP,0.093175
AIR PRODUCTS & CHEMICALS,RAYTHEON,0.00682
AIR PRODUCTS & CHEMICALS,SOUTHWEST AIRLINES,0.022529
AIR PRODUCTS & CHEMICALS,TEXTRON,0.07128
AIR PRODUCTS & CHEMICALS,THERMO FISHER SCIENTIFIC,0.03448
AIR PRODUCTS & CHEMICALS,UNION PACIFIC,0.037859
AIR PRODUCTS & CHEMICALS,UNITED AIRLINES HOLDINGS,0.009906
AIR PRODUCTS & CHEMICALS,UNITED TECHNOLOGIES,0.091057
AIR PRODUCTS & CHEMICALS,USAA,0.012214
AIR PRODUCTS & CHEMICALS,WESTROCK,0.281648
AIR PRODUCTS & CHEMICALS,XCEL ENERGY,0.061176
ALASKA AIR GROUP,AMAZON,0.062666
ALASKA AIR GROUP,AMEREN,0.005263
ALASKA AIR GROUP,AMERICAN AIRLINES GROUP,0.577822
ALASKA AIR GROUP,AMERICAN ELECTRIC POWER,0.001505
ALASKA AIR GROUP,BALL,0.00413
ALASKA AIR GROUP,BANK OF AMERICA,0.007199
ALASKA AIR GROUP,BECTON DICKINSON,0.015158
ALASKA AIR GROUP,BERKSHIRE HATHAWAY,0.010433
ALASKA AIR GROUP,BIOGEN,0.005556
ALASKA AIR GROUP,BLACKSTONE GROUP,0.000391
ALASKA AIR GROUP,BOEING,0.014465
ALASKA AIR GROUP,BOSTON SCIENTIFIC,0.073195
ALASKA AIR GROUP,BRISTOL-MYERS SQUIBB,0.001584
ALASKA AIR GROUP,CAPITAL ONE FINANCIAL,0.075435
ALASKA AIR GROUP,CARDINAL HEALTH,0.179792
ALASKA AIR GROUP,CENTENE,0.005053
ALASKA AIR GROUP,CENTERPOINT ENERGY,0.010537
ALASKA AIR GROUP,CMS ENERGY,0.005924
ALASKA AIR GROUP,COGNIZANT TECHNOLOGY SOLUTIONS,0.02845
ALASKA AIR GROUP,CONOCOPHILLIPS,0.011984
ALASKA AIR GROUP,CORNING,0.008789
ALASKA AIR GROUP,CSX,0.010908
ALASKA AIR GROUP,CUMMINS,0.068258
ALASKA AIR GROUP,DANAHER,0.0045
ALASKA AIR GROUP,DELL TECHNOLOGIES,0.0982
ALASKA AIR GROUP,DELTA AIR LINES,0.132212
ALASKA AIR GROUP,DTE ENERGY,0.003592
ALASKA AIR GROUP,DUKE ENERGY,0.008577
ALASKA AIR GROUP,EDISON INTERNATIONAL,0.01185
ALASKA AIR GROUP,ENTERGY,0.010513
ALASKA AIR GROUP,EVERSOURCE ENERGY,0.013928
ALASKA AIR GROUP,EXELON,0.002368
ALASKA AIR GROUP,EXXONMOBIL,0.001405
ALASKA AIR GROUP,FACEBOOK,0.073199
ALASKA AIR GROUP,FEDEX,0.263963
ALASKA AIR GROUP,FIRSTENERGY,0.001609
ALASKA AIR GROUP,GENERAL DYNAMICS,0.061256
ALASKA AIR GROUP,GENERAL ELECTRIC,0.00292
ALASKA AIR GROUP,GENERAL MILLS,0.14459
ALASKA AIR GROUP,GENERAL MOTORS,0.106557
ALASKA AIR GROUP,GILEAD SCIENCES,0.003971
ALASKA AIR GROUP,HARTFORD FINANCIAL SERVICES,0.002842
ALASKA AIR GROUP,HCA HEALTHCARE,0.002896
ALASKA AIR GROUP,HERSHEY,0.01254
ALASKA AIR GROUP,HEWLETT PACKARD ENTERPRISE,0.032449
ALASKA AIR GROUP,HILTON WORLDWIDE HOLDINGS,0.002157
ALASKA AIR GROUP,HOLLYFRONTIER,0.228567
ALASKA AIR GROUP,HUMANA,0.005114
ALASKA AIR GROUP,HUNTSMAN,0.000986
ALASKA AIR GROUP,IBM,0.060644
ALASKA AIR GROUP,JACOBS ENGINEERING GROUP,0.050945
ALASKA AIR GROUP,JETBLUE AIRWAYS,0.010136
