source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
ABBVIE,PEPSICO,3.6795391744273875e-06,0.0004528985507246,1,0.003727,0.0021798826125936
ABBVIE,PPG INDUSTRIES,0.014773868063678735,0.0013586956521739,3,0.127699,0.0851499768586101
ABBVIE,PRUDENTIAL FINANCIAL,0.012008213857091207,0.0004528985507246,1,0.105431,0.251483303738555
ABBVIE,RAYTHEON,0.0005470888977339785,0.0004528985507246,1,0.051087,0.0236453948401105
ABBVIE,REGENERON PHARMACEUTICALS,0.014378845108694424,0.0009057971014492,2,0.352761,0.0449999999999999
ABBVIE,RITE AID,0.10713533356846294,0.0013586956521739,3,0.388993,0.2027070037414285
ABBVIE,S&P GLOBAL,0.0018967180674687829,0.0004528985507246,1,0.085853,0.0487805142857142
ABBVIE,THERMO FISHER SCIENTIFIC,0.000417341134332577,0.0009057971014492,2,0.040292,0.0114351387943811
ABBVIE,UNION PACIFIC,0.00033571845908730554,0.0009057971014492,2,0.031373,0.0118137627524437
ABBVIE,W.R. BERKLEY,0.022670888110958246,0.0004528985507246,1,0.246167,0.2033469999999999
ABBVIE,WALGREENS BOOTS ALLIANCE,0.00043339046214912655,0.0009057971014492,2,0.035257,0.0135707255357142
ABBVIE,WALMART,0.049627190889788286,0.0013586956521739,3,0.244608,0.1493230495114
ABBVIE,WESCO INTERNATIONAL,0.017644746376810107,0.0004528985507246,1,0.389596,0.0999999999999999
ABBVIE,WESTERN UNION,0.0017409226548911541,0.0004528985507246,1,0.122626,0.0313469999999999
ABBVIE,WESTROCK,6.811595213771492e-05,0.0004528985507246,1,0.04502,0.0033407379458038
ABM INDUSTRIES,AECOM,0.04975418396739078,0.0013586956521739,3,0.405864,0.0902249999999999
ABM INDUSTRIES,AMERICAN ELECTRIC POWER,0.004623436956521344,0.0009057971014492,2,0.112864,0.0452249999999999
ABM INDUSTRIES,HONEYWELL INTERNATIONAL,0.01544160173233627,0.0022644927536231,5,0.374157,0.0182249999999999
ABM INDUSTRIES,MOTOROLA SOLUTIONS,0.0020590074048911283,0.0004528985507246,1,0.100526,0.0452249999999999
ABM INDUSTRIES,PUBLIC SERVICE ENTERPRISE GROUP,0.012825107812498921,0.0009057971014492,2,0.156929,0.0902249999999999
ABM INDUSTRIES,XCEL ENERGY,0.0007569813179347713,0.0013586956521739,3,0.03057,0.0182249999999999
ADP,BEST BUY,0.009117913043477487,0.0009057971014492,2,0.139808,0.0719999999999999
ADP,HOME DEPOT,0.025365195652171765,0.0009057971014492,2,0.388933,0.0719999999999999
ADP,MCDONALD'S,0.008898529891303573,0.0009057971014492,2,0.363851,0.0269999999999999
ADVANCED MICRO DEVICES,CHEMOURS,0.0002823141644021489,0.0004528985507246,1,0.034203,0.0182249999999999
ADVANCED MICRO DEVICES,WESTERN DIGITAL,0.008469293478260146,0.0009057971014492,2,0.20778,0.0449999999999999
AECOM,AES,0.001951295385619403,0.0009057971014492,2,0.200176,0.01076168025
AECOM,ALASKA AIR GROUP,0.032541455271538254,0.0027173913043478,6,0.111336,0.1075595992304932
AECOM,AMEREN,0.0024621090892196656,0.0009057971014492,2,0.050551,0.0537708143162101
AECOM,AMERICAN AIRLINES GROUP,0.0058200840450107665,0.0027173913043478,6,0.115575,0.0185316108895867
AECOM,APPLIED MATERIALS,0.0001672409342585246,0.0004528985507246,1,0.048639,0.0075920142857142
AECOM,BALL,0.006464440787595477,0.0018115942028985,4,0.085138,0.0419127923459889
AECOM,BERKSHIRE HATHAWAY,0.012554423385999347,0.0036231884057971,8,0.088508,0.0391492391030847
AECOM,CATERPILLAR,0.0020328189566812586,0.0004528985507246,1,0.074088,0.0605828778797186
AECOM,CENTENE,1.4721558039865146e-05,0.0013586956521739,3,0.010067,0.0010762954919381
AECOM,CHEMOURS,0.0022461347480588136,0.0009057971014492,2,0.081155,0.0305555142857142
AECOM,CISCO SYSTEMS,2.850772017124543e-06,0.0004528985507246,1,0.003079,0.0020443340739888
AECOM,CONOCOPHILLIPS,0.0003489969195860133,0.0009057971014492,2,0.02319,0.0166146010876667
AECOM,CORNING,0.004061784207131648,0.0013586956521739,3,0.061274,0.0487886081608663
AECOM,CSX,0.0008574898647496722,0.0013586956521739,3,0.034056,0.0185316108895867
AECOM,CUMMINS,0.04954269080953569,0.0040760869565217,9,0.191678,0.0634108947224314
AECOM,DELTA AIR LINES,0.22764444862371946,0.0058876811594202,13,0.223877,0.1727043601762026
AECOM,DUKE ENERGY,0.00022299204751991228,0.0027173913043478,6,0.076244,0.0010762954919381
AECOM,ECOLAB,0.00020821126505220228,0.0004528985507246,1,0.018169,0.0253030146532721
AECOM,EDISON INTERNATIONAL,0.0061290601624277765,0.0009057971014492,2,0.102681,0.0658980962331963
