source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced
AECOM,DUPONT DE NEMOURS,0.016711,0,0,1,1,0,1
AECOM,ENTERGY,0.024793,1,0,1,2,1,0
FEDEX,AECOM,0.0107,1,0,0,1,1,0
FIRSTENERGY,AECOM,0.035886,1,0,1,2,1,0
FLUOR,AECOM,0.082498,1,0,2,3,1,0
GENERAL DYNAMICS,AECOM,0.07739,3,0,3,6,3,0
AECOM,GOODYEAR TIRE & RUBBER,0.01566,0,0,1,1,0,1
AECOM,GUARDIAN LIFE INS. CO. OF AMERICA,0.003474,0,0,1,1,0,1
AECOM,HONEYWELL INTERNATIONAL,0.027412,0,0,2,2,0,1
INTERPUBLIC GROUP,AECOM,0.037845,1,0,1,2,1,0
L3HARRIS TECHNOLOGIES,AECOM,0.052597,2,0,2,4,2,0
AECOM,LEIDOS HOLDINGS,0.0107,0,0,1,1,0,1
AECOM,NATIONWIDE,0.002685,0,0,1,1,0,1
NORTHROP GRUMMAN,AECOM,0.03857,2,0,0,2,2,0
PHILLIPS 66,AECOM,0.027412,1,0,1,2,1,0
AECOM,PNC FINANCIAL SERVICES,0.0107,0,0,1,1,0,1
PPG INDUSTRIES,AECOM,0.041504,1,0,3,4,1,0
RAYTHEON,AECOM,0.035886,2,0,3,5,2,0
AECOM,ROCKWELL COLLINS,0.027412,1,1,2,4,0,1
SOUTHWEST AIRLINES,AECOM,0.041504,1,0,1,2,1,0
UNION PACIFIC,AECOM,0.016711,1,0,0,1,1,0
UNITED TECHNOLOGIES,AECOM,0.035886,2,0,0,2,2,0
ALASKA AIR GROUP,AES,0.010552,1,0,0,1,1,0
ALLY FINANCIAL,AES,0.001641,1,0,0,1,1,0
ALPHABET,AES,0.020444,1,0,0,1,1,0
AES,AMEREN,0.192617,1,1,0,2,0,1
AMERICAN ELECTRIC POWER,AES,0.118167,1,0,1,2,1,0
APPLIED MATERIALS,AES,0.029186,2,0,0,2,2,0
BLACKSTONE GROUP,AES,0.014433,1,0,0,1,1,0
AES,CALPINE,0.020444,1,0,0,1,1,0
CAMPBELL SOUP,AES,0.014027,1,0,0,1,1,0
CATERPILLAR,AES,0.018166,3,0,0,3,3,0
CISCO SYSTEMS,AES,0.020444,2,0,0,2,2,0
COCA-COLA,AES,0.04897,2,0,0,2,2,0
CONSOLIDATED EDISON,AES,0.028526,2,0,2,4,2,0
AES,DTE ENERGY,0.028526,1,1,0,2,0,1
ECOLAB,AES,0.002092,1,0,0,1,1,0
EDISON INTERNATIONAL,AES,0.028526,1,0,2,3,1,0
ENTERGY,AES,0.038418,1,0,1,2,1,0
AES,EXXONMOBIL,0.028526,1,1,0,2,0,1
FIRSTENERGY,AES,0.001641,1,0,1,2,1,0
AES,FLUOR,0.009892,0,0,1,1,0,1
GENERAL ELECTRIC,AES,0.014433,1,0,0,1,1,0
GENERAL MOTORS,AES,0.006418,3,0,0,3,3,0
HONEYWELL INTERNATIONAL,AES,0.018803,1,0,0,1,1,0
IBM,AES,0.005374,2,0,0,2,2,0
IHEARTMEDIA,AES,0.069712,2,0,2,4,2,0
ILLINOIS TOOL WORKS,AES,0.039739,3,0,0,3,3,0
INTEL,AES,0.094898,2,0,0,2,2,0
INTERNATIONAL PAPER,AES,0.01631,2,0,0,2,2,0
LIBERTY MUTUAL INSURANCE GROUP,AES,0.006418,2,1,0,3,1,0
LOCKHEED MARTIN,AES,0.009892,1,0,1,2,1,0
LOEWS,AES,0.001641,1,0,1,2,1,0
MASCO,AES,0.016711,1,0,0,1,1,0
AES,MGM RESORTS INTERNATIONAL,0.006011,0,0,1,1,0,1
AES,NORTHROP GRUMMAN,0.001641,0,0,1,1,0,1
NUCOR,AES,0.068145,2,0,0,2,2,0
AES,OCCIDENTAL PETROLEUM,0.014027,1,0,0,1,1,0
PEABODY ENERGY,AES,0.006418,1,0,0,1,1,0
PNC FINANCIAL SERVICES,AES,0.026862,1,0,1,2,1,0
