source,target,weight,affil_norm
AIG,MARRIOTT INTERNATIONAL,1,0.0004528985507246377
AIG,MARSH & MCLENNAN,1,0.0004528985507246377
AIG,MASSACHUSETTS MUTUAL LIFE INSURANCE,1,0.0004528985507246377
AIG,MUTUAL OF OMAHA INSURANCE,6,0.002717391304347826
AIG,NATIONWIDE,11,0.004981884057971014
AIG,NEW YORK LIFE INSURANCE,3,0.001358695652173913
AIG,NEXTERA ENERGY,1,0.0004528985507246377
AIG,NORTHERN TRUST,3,0.001358695652173913
AIG,NORTHWESTERN MUTUAL,10,0.004528985507246377
AIG,PNC FINANCIAL SERVICES,2,0.0009057971014492754
AIG,PRINCIPAL FINANCIAL,4,0.0018115942028985507
AIG,PRUDENTIAL FINANCIAL,3,0.001358695652173913
AIG,RAYTHEON,1,0.0004528985507246377
AIG,REGIONS FINANCIAL,1,0.0004528985507246377
AIG,STATE FARM INSURANCE,6,0.002717391304347826
AIG,STATE STREET CORP.,1,0.0004528985507246377
AIG,SYNCHRONY FINANCIAL,1,0.0004528985507246377
AIG,TIAA,5,0.0022644927536231885
AIG,U.S. BANCORP,1,0.0004528985507246377
