firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
TEXTRON,2,0.088059,-0.3095,0.6254,0.003074,0.042205,non_hub_connector
EVERSOURCE ENERGY,3,0.087738,0.0927,0.4451,0.005616,0.083684,peripheral
LIBERTY MUTUAL INSURANCE GROUP,0,0.087548,-0.1328,0.6882,0.002672,0.030555,non_hub_connector
PNC FINANCIAL SERVICES,0,0.086431,0.5502,0.3587,0.00351,0.027126,peripheral
LABORATORY CORP. OF AMERICA,4,0.086288,0.0866,0.6914,0.003439,0.031814,non_hub_connector
WALGREENS BOOTS ALLIANCE,4,0.085144,-0.1519,0.616,0.002521,0.031952,peripheral
CATERPILLAR,4,0.081753,-0.2252,0.781,0.005575,0.052179,non_hub_connector
ALPHABET,1,0.080517,0.0989,0.4869,0.002639,0.02647,peripheral
JACOBS ENGINEERING GROUP,2,0.080061,-0.3568,0.6127,0.002985,0.038439,peripheral
EXXONMOBIL,3,0.079815,0.1282,0.7073,0.010808,0.098034,non_hub_connector
AMEREN,3,0.077854,-0.005,0.5355,0.00593,0.080305,peripheral
BLACKROCK,0,0.077427,0.0461,0.4613,0.002505,0.026007,peripheral
CAPITAL ONE FINANCIAL,0,0.075389,0.0786,0.7455,0.003892,0.035146,non_hub_connector
FLUOR,2,0.075369,-0.3686,0.6523,0.003856,0.051739,non_hub_connector
CITIGROUP,0,0.074289,0.4201,0.5915,0.003899,0.030844,peripheral
HEWLETT PACKARD ENTERPRISE,1,0.072622,0.3778,0.7067,0.004643,0.040951,non_hub_connector
HONEYWELL INTERNATIONAL,1,0.072021,0.0825,0.7457,0.004807,0.046873,non_hub_connector
INTEL,1,0.071235,0.1317,0.6121,0.003241,0.039314,peripheral
WINDSTREAM HOLDINGS,1,0.071047,-0.3768,0.2571,0.001196,0.02329,peripheral
TEXAS INSTRUMENTS,1,0.070164,0.3286,0.5525,0.003108,0.030326,peripheral
NORTHERN TRUST,0,0.068681,0.29,0.4338,0.003184,0.027154,peripheral
LUMEN TECHNOLOGIES,1,0.068611,-0.3768,0.71,0.001923,0.029714,non_hub_connector
CSX,2,0.068298,-0.4751,0.6843,0.00348,0.049616,non_hub_connector
AMERISOURCEBERGEN,4,0.066747,-0.4454,0.0555,0.001315,0.022283,peripheral
KEYCORP,0,0.066447,0.3713,0.0705,0.002766,0.024313,peripheral
MOTOROLA SOLUTIONS,2,0.06613,-0.5224,0.6856,0.003229,0.043975,non_hub_connector
COCA-COLA,1,0.065839,0.263,0.74,0.0063,0.034577,non_hub_connector
HUNTSMAN,2,0.065102,-0.4751,0.7285,0.003561,0.042081,non_hub_connector
AIR PRODUCTS & CHEMICALS,2,0.065056,-0.4632,0.6006,0.00269,0.039643,peripheral
SOUTHERN,3,0.064925,-0.2669,0.4764,0.003649,0.066874,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,2,0.064512,-0.5579,0.6701,0.002975,0.035163,non_hub_connector
CHARLES SCHWAB,0,0.061825,-0.1816,0.0425,0.001771,0.022792,ultra_peripheral
REGENERON PHARMACEUTICALS,4,0.061405,-0.4454,0.1065,0.001318,0.022491,peripheral
HOME DEPOT,1,0.060749,0.345,0.7242,0.004529,0.03746,non_hub_connector
NAVISTAR INTERNATIONAL,4,0.05992,-0.317,0.666,0.00242,0.03,non_hub_connector
FORD,0,0.056399,-0.2629,0.6489,0.002669,0.035453,non_hub_connector
HP,1,0.055984,-0.0815,0.3561,0.00204,0.025482,peripheral
CITIZENS FINANCIAL GROUP,0,0.055897,-0.1491,0.3854,0.002041,0.023802,peripheral
MICRON TECHNOLOGY,1,0.054782,0.2794,0.6876,0.004616,0.047007,non_hub_connector
GENERAL MOTORS,3,0.054034,-0.258,0.7216,0.006104,0.068895,non_hub_connector
MCKESSON,4,0.053912,-0.5371,0.532,0.001521,0.024528,peripheral
