firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
PROCTER & GAMBLE,3,0.040343,-1.3284,0.8107,0.001799,0.03295,kinless
FIDELITY NATIONAL INFORMATION SERVICES,1,0.037911,-1.1035,0.3817,0.00111,0.015181,peripheral
HILTON WORLDWIDE HOLDINGS,1,0.037161,-1.3792,0.819,0.002022,0.035758,kinless
HUNTINGTON INGALLS INDUSTRIES,2,0.035812,-1.6487,0.6284,0.001726,0.029842,non_hub_connector
KELLOGG,3,0.035355,-1.1508,0.7994,0.001875,0.029643,non_hub_connector
IHEARTMEDIA,0,0.034961,-0.8872,0.7286,0.001661,0.027422,non_hub_connector
CAMPBELL SOUP,3,0.032978,-1.2042,0.734,0.001457,0.022933,non_hub_connector
MOLSON COORS BEVERAGE,3,0.031678,-1.4296,0.7969,0.001764,0.029892,non_hub_connector
BOOKING HOLDINGS,5,0.029898,-1.4855,0.6253,0.000925,0.015168,non_hub_connector
BROADCOM,5,0.028492,-1.5757,0.6305,0.000912,0.014099,non_hub_connector
ARROW ELECTRONICS,2,0.024602,-1.8855,0.6256,0.001402,0.02192,non_hub_connector
EXPEDIA GROUP,1,0.023892,-1.386,0.6832,0.0011,0.01786,non_hub_connector
JETBLUE AIRWAYS,2,0.022587,-2.0772,0.3457,0.000897,0.017002,peripheral
NETFLIX,0,0.022104,-1.1897,0.1992,0.000845,0.012566,peripheral
FRONTIER COMMUNICATIONS,0,0.022104,-1.1897,0.1992,0.000845,0.012566,peripheral
DISH NETWORK,0,0.022104,-1.1897,0.1992,0.000845,0.012566,peripheral
ALTICE USA,0,0.01968,-1.3291,0.5516,0.000949,0.013405,peripheral
INTERCONTINENTAL EXCHANGE,1,0.018954,-1.5611,0.0,0.000743,0.011553,ultra_peripheral
YUM CHINA HOLDINGS,1,0.018954,-1.5611,0.0,0.000743,0.011553,ultra_peripheral
W.W. GRAINGER,2,0.018267,-2.0861,0.4083,0.000997,0.016491,peripheral
ACTIVISION BLIZZARD,5,0.015417,-1.9384,0.314,0.000615,0.011112,peripheral
UNITED NATURAL FOODS,5,0.012073,-2.2485,0.6893,0.000575,0.010997,non_hub_connector
TRAVELERS,1,0.011917,-1.7007,0.6347,0.000927,0.013025,non_hub_connector
